Palabra              Idf                 
pag                 : 0.47712125471966244 
aqu                 : 0.0                 
leas                : 0.47712125471966244 
aprendiz            : 0.47712125471966244 
dar                 : 0.0                 
barat               : 0.47712125471966244 
apur                : 0.17609125905568124 
prefier             : 0.17609125905568124 
twitt               : 0.47712125471966244 
estres              : 0.47712125471966244 
asi                 : 0.0                 
piñizc              : 0.47712125471966244 
document            : 0.47712125471966244 
brut                : 0.47712125471966244 
result              : 0.17609125905568124 
increment           : 0.47712125471966244 
comunic             : 0.0                 
estatal             : 0.47712125471966244 
tipic               : 0.47712125471966244 
felic               : 0.47712125471966244 
fuert               : 0.0                 
desconexion         : 0.47712125471966244 
instruccion         : 0.47712125471966244 
critic              : 0.47712125471966244 
hab                 : 0.0                 
electron            : 0.47712125471966244 
decid               : 0.47712125471966244 
form                : 0.0                 
realid              : 0.17609125905568124 
experient           : 0.17609125905568124 
estas               : 0.17609125905568124 
poder               : 0.47712125471966244 
compañer            : 0.17609125905568124 
tut                 : 0.47712125471966244 
algun               : 0.0                 
comenz              : 0.17609125905568124 
apoc                : 0.47712125471966244 
terc                : 0.17609125905568124 
hub                 : 0.0                 
aspir               : 0.47712125471966244 
control             : 0.0                 
vend                : 0.17609125905568124 
viej                : 0.47712125471966244 
celul               : 0.17609125905568124 
mied                : 0.0                 
promet              : 0.47712125471966244 
traduc              : 0.47712125471966244 
xx                  : 0.47712125471966244 
sig                 : 0.0                 
dañ                 : 0.47712125471966244 
frent               : 0.47712125471966244 
ingen               : 0.47712125471966244 
visual              : 0.17609125905568124 
profesion           : 0.47712125471966244 
les                 : 0.0                 
tartamude           : 0.47712125471966244 
barbar              : 0.47712125471966244 
pref                : 0.47712125471966244 
adicional           : 0.17609125905568124 
cultiv              : 0.47712125471966244 
nutricion           : 0.47712125471966244 
product             : 0.47712125471966244 
complement          : 0.47712125471966244 
apen                : 0.47712125471966244 
vers                : 0.47712125471966244 
abc                 : 0.47712125471966244 
pelagat             : 0.47712125471966244 
visit               : 0.47712125471966244 
marz                : 0.47712125471966244 
arman               : 0.47712125471966244 
opin                : 0.47712125471966244 
acces               : 0.47712125471966244 
present             : 0.0                 
serran              : 0.47712125471966244 
proposicion         : 0.47712125471966244 
ancho               : 0.47712125471966244 
espectacul          : 0.17609125905568124 
tar                 : 0.17609125905568124 
delic               : 0.17609125905568124 
estudi              : 0.0                 
escrit              : 0.17609125905568124 
embarg              : 0.47712125471966244 
reserv              : 0.47712125471966244 
desapercib          : 0.47712125471966244 
pregunt             : 0.0                 
supong              : 0.47712125471966244 
ejempl              : 0.0                 
disqu               : 0.47712125471966244 
vid                 : 0.47712125471966244 
nud                 : 0.47712125471966244 
ignorar             : 0.47712125471966244 
javi                : 0.47712125471966244 
qued                : 0.0                 
dec                 : 0.0                 
dart                : 0.47712125471966244 
cient               : 0.47712125471966244 
tendran             : 0.47712125471966244 
