Palabras			         Doc1.txt		Doc2.txt		doc3.txt		doc9.txt		
amor                : 			0.000000			0.000000			0.000000			90.308999
hombr               : 			0.000000			0.000000			0.000000			83.686339
padr                : 			0.000000			0.000000			0.000000			79.471919
senor               : 			0.000000			0.000000			0.000000			78.869859
prudenc             : 			0.000000			0.000000			0.000000			77.665739
muj                 : 			0.000000			0.000000			0.000000			75.859559
armand              : 			0.000000			0.000000			0.000000			68.634839
amant               : 			0.000000			0.000000			0.000000			65.022479
paris               : 			0.000000			0.000000			0.000000			58.399819
––no                : 			0.000000			0.000000			0.000000			57.195699
