Palabras            			Doc1.txt		Doc2.txt		doc3.txt		
prefería:           			0			0			1
evaluaciones:       			2			2			12
olvidan:            			0			0			1
reflexionen:        			1			0			0
lecciones:          			3			1			0
suplan:             			1			0			0
amigo:              			0			1			0
conferencia:        			0			1			0
mercadeo:           			0			3			0
cantidad:           			1			0			1
hicimos:            			1			1			0
manejas:            			0			1			0
lento:              			1			0			0
intentaba:          			0			0			1
chat:               			0			1			0
diera:              			0			1			0
cuestión:           			2			0			1
excepto:            			1			0			1
fáciles:            			0			0			1
entrega:            			1			3			0
reflexionar:        			1			1			2
piñizcando:         			0			1			0
pinzas:             			0			3			0
opinión:            			0			4			0
revise:             			1			0			0
nutricionista:      			1			0			0
atención:           			0			0			4
tocado:             			1			0			0
pasan:              			1			3			0
segmentación:       			0			1			0
cambio:             			1			5			6
pedían:             			0			0			2
mirada:             			0			1			0
interés:            			0			0			2
lugar:              			1			1			0
sugerencia:         			0			0			1
tapa:               			0			1			0
orientados:         			1			0			0
nuevamente:         			1			0			0
material:           			5			3			4
directamente:       			0			1			1
examen:             			2			6			0
pesar:              			0			0			2
diferentes:         			1			0			3
quiere:             			0			9			1
entregables:        			1			0			0
genero:             			1			0			0
contestarles:       			0			1			0
adicional:          			2			0			1
foro:               			2			0			0
sabía:              			1			1			2
trabajando:         			1			0			0
fuertes:            			1			0			1
jocosidad:          			0			1			0
explicación:        			0			1			1
dela:               			0			1			0
específico:         			0			1			1
revisando:          			0			1			1
tomaron:            			1			0			0
medios:             			0			2			0
había:              			1			3			15
economista:         			1			0			0
seriedad:           			0			1			0
suscrito:           			0			1			0
ejecutara:          			0			0			2
gusta:              			3			12			0
llego:              			0			2			1
difícil:            			2			2			0
regreso:            			1			0			0
sierra:             			0			3			0
haciendo:           			7			5			3
investiguen:        			0			0			2
pasando:            			0			1			0
sencillas:          			2			0			0
universidad:        			0			8			1
ciento:             			0			1			0
calificaciones:     			0			3			0
vez:                			4			6			8
seña:               			1			0			0
completar:          			0			0			4
retroalimentación:  			6			0			0
sustentas:          			0			1			0
entregar:           			4			1			3
resultado:          			0			0			4
cometieron:         			0			0			1
díganme:            			0			1			0
amenazante:         			0			1			0
saludabas:          			0			1			0
conocimiento:       			2			5			4
pendrive:           			0			1			0
blablá:             			1			0			0
++:                 			0			1			0
lograban:           			0			0			1
específica:         			0			0			1
tercer:             			1			1			0
solitaria:          			0			1			0
esperando:          			0			1			0
vida:               			0			2			0
comprar:            			0			4			0
piensas:            			0			2			0
posible:            			1			1			1
mejorar:            			1			0			1
tablero:            			0			0			2
envergadura:        			0			0			1
fechas:             			1			0			0
alérgicos:          			0			1			0
texto:              			4			0			0
consulta:           			0			1			1
colegio:            			0			1			0
aprendo:            			1			0			0
estilo:             			1			0			0
sugerencias:        			0			0			1
rescatadas:         			1			0			0
dan:                			1			1			0
analogía:           			0			1			0
buscarlos:          			1			0			0
absolutamente:      			0			1			0
sugeridas:          			0			0			1
traer:              			0			1			2
cronograma:         			2			0			0
abc:                			1			0			0
especialmente:      			0			1			2
investigar:         			1			4			1
estudiantón:        			0			1			0
criticaba:          			0			0			1
diseñar:            			4			0			5
estricta:           			1			0			0
pellicas:           			0			1			0
recién:             			2			0			0
borrador:           			1			0			0
pelagatos:          			1			0			0
bar:                			0			1			0
imprimir:           			0			1			0
corregir:           			0			0			1
proactivo:          			0			0			1
han:                			12			6			3
explicarlo:         			0			1			0
sale:               			0			1			0
evaluaran:          			0			0			2
